,yr_season,date
0,2015 Aut,Sep 03
1,2015 Aut,Sep 03
2,2015 Aut,Sep 03
3,2015 Aut,Sep 03
4,2015 Aut,Sep 03
5,2015 Aut,Sep 25
6,2015 Aut,Sep 25
7,2015 Aut,Sep 25
8,2015 Aut,Sep 25
9,2015 Aut,Sep 25
10,2015 Aut,Sep 25
11,1961 Spr,Mar 13
12,1961 Spr,Mar 13
13,1961 Spr,Mar 13
14,1961 Spr,Mar 13
15,1979 Spr,Apr 22
16,1979 Spr,Apr 22
17,1979 Spr,Apr 22
18,1979 Spr,Apr 22
19,1979 Spr,Apr 22
20,1979 Spr,Apr 22
21,1979 Spr,Apr 22
22,1979 Spr,Apr 22
23,1979 Spr,Apr 25
24,1979 Spr,Apr 25
25,1979 Spr,Apr 30
26,1979 Aut,Oct 21
27,1979 Aut,Oct 21
28,1979 Aut,Oct 21
29,1979 Aut,Oct 21
30,1979 Aut,Oct 21
31,1979 Aut,Oct 21
32,1979 Aut,Oct 21
33,1979 Aut,Oct 22
34,1979 Aut,Oct 22
35,1979 Aut,Oct 22
36,1979 Aut,Oct 23
37,1979 Aut,Oct 23
38,1979 Aut,Oct 23
39,1979 Aut,Oct 23
40,1979 Aut,Oct 23
41,1979 Aut,Oct 23
42,1979 Aut,Oct 23
43,1979 Aut,Oct 24
44,1979 Aut,Oct 24
45,1979 Aut,Oct 24
46,1980 Aut,Oct 18
47,1980 Aut,Oct 18
48,1980 Aut,Oct 21
49,1980 Aut,Oct 21
50,1980 Aut,Oct 21
51,1980 Aut,Nov 08
52,1980 Aut,Nov 08
53,1980 Aut,Nov 09
54,1980 Aut,Nov 09
55,1980 Aut,Nov 10
56,1980 Aut,Nov 10
57,1981 Spr,Apr 28
58,1981 Spr,Apr 28
59,1981 Spr,Apr 28
60,1981 Spr,Apr 28
61,1981 Spr,Apr 28
62,1981 Spr,Apr 28
63,1981 Spr,May 01
64,1981 Spr,May 01
65,1981 Spr,May 01
66,1981 Spr,May 01
67,1981 Spr,May 15
68,1981 Spr,May 15
69,1981 Spr,May 15
70,1981 Aut,Oct 05
71,1981 Aut,Oct 05
72,1981 Aut,Oct 05
73,1981 Aut,Oct 12
74,1982 Spr,Apr 20
75,1982 Spr,Apr 20
76,1982 Spr,Apr 20
77,1982 Spr,Apr 20
78,1982 Spr,Apr 22
79,1982 Spr,Apr 22
80,1982 Spr,Apr 22
81,1982 Spr,Apr 22
82,1983 Spr,Apr 21
83,1983 Spr,Apr 21
84,1983 Spr,Apr 26
85,1983 Spr,Apr 26
86,1983 Aut,Oct 22
87,1983 Aut,Oct 22
88,1983 Aut,Oct 22
89,1983 Aut,Oct 22
90,1983 Aut,Oct 23
91,1983 Aut,Oct 25
92,1983 Aut,Oct 25
93,1983 Aut,Oct 25
94,1983 Aut,Oct 25
95,1983 Aut,Oct 25
96,1983 Aut,Oct 26
97,1983 Aut,Oct 27
98,1983 Aut,Oct 27
99,1983 Aut,Oct 27
100,1983 Aut,Nov 05
101,1983 Aut,Nov 05
102,1983 Aut,Nov 05
103,1983 Aut,Nov 05
104,1983 Aut,Nov 05
105,1983 Aut,Nov 06
106,1983 Aut,Nov 07
107,1983 Aut,Nov 07
108,1983 Aut,Nov 08
109,1983 Aut,Nov 08
110,1983 Aut,Nov 09
111,1983 Aut,Nov 09
112,1983 Aut,Nov 09
113,1983 Win,Dec 05
114,1983 Win,Dec 06
115,1983 Win,Dec 06
116,1984 Spr,May 03
117,1985 Spr,Apr 23
118,1985 Spr,Apr 23
